GEOID,variable,est_2009,est_2010,est_2011,est_2012,est_2013,est_2014,est_2015,est_2016,est_2017,est_2018,est_2019,borough,PUMA
3603701,med_age,38.6,38.4,37.5,40.7,35.4,37,38.5,38.2,38.6,38.1,39.9,Bronx,3701
3603701,population,105102,109153,103785,104603,114884,106737,112505,108865,113242,119846,104149,Bronx,3701
3603701,poverty_total,99678,104334,99053,99038,109312,101254,107218,103677,107010,113989,97833,Bronx,3701
3603701,poverty,13331,19264,18499,16917,16925,22755,18803,18478,19793,21457,16144,Bronx,3701
3603701,hhincome,52058,50042,55119,54958,60614,54224,61716,58297,53986,54621,61248,Bronx,3701
3603701,occupied_owner_0.5less,9624,9220,7632,9423,9356,8394,7427,8531,8439,10885,8097,Bronx,3701
3603701,occupied_owner_0.51_1,4316,3300,3489,4063,4136,3181,3938,4571,4097,4775,3339,Bronx,3701
3603701,occupied_owner_1.01_1.5,292,105,97,148,238,435,213,255,50,123,89,Bronx,3701
3603701,occupied_owner_1.51_2,65,183,0,134,315,192,513,0,123,86,221,Bronx,3701
3603701,occupied_owner_2plus,0,0,167,0,0,276,0,207,62,0,220,Bronx,3701
3603701,occupied_renter_0.5less,13981,13845,15027,13961,12157,15414,13805,13202,14906,12494,15980,Bronx,3701
3603701,occupied_renter_0.51_1,11948,13205,10145,10575,11571,10608,12478,12912,11206,12026,10970,Bronx,3701
3603701,occupied_renter_1.01_1.5,1397,1814,2539,1715,2404,2379,1507,1640,2823,2507,2027,Bronx,3701
3603701,occupied_renter_1.51_2,558,865,767,643,864,908,1075,793,938,1112,531,Bronx,3701
3603701,occupied_renter_2plus,129,56,161,173,544,248,384,47,332,267,1118,Bronx,3701
3603701,occupied_total,42310,42593,40024,40835,41585,42035,41340,42158,42976,44275,42592,Bronx,3701
3603701,occupied_owner,14297,12808,11385,13768,14045,12478,12091,13564,12771,15869,11966,Bronx,3701
3603701,occupied_renter,28013,29785,28639,27067,27540,29557,29249,28594,30205,28406,30626,Bronx,3701
3603701,heating_total,42310,42593,40024,40835,41585,42035,41340,42158,42976,44275,42592,Bronx,3701
3603701,heating_gas,10182,10675,10713,11874,12789,14508,14205,17630,21329,22182,21152,Bronx,3701
3603701,heating_bottled,478,415,682,730,853,678,1385,732,1038,1168,1335,Bronx,3701
3603701,heating_elect,1494,4674,1885,2867,2449,3528,2297,3408,3971,4485,5564,Bronx,3701
3603701,heating_fuel_oil,29636,25388,26386,24306,23939,21861,21879,18979,15216,14835,13171,Bronx,3701
3603701,heating_coal,0,134,47,0,185,48,0,166,49,0,0,Bronx,3701
3603701,heating_wood,0,108,0,0,0,60,0,0,0,0,0,Bronx,3701
3603701,heating_solar,0,0,0,0,0,0,0,0,0,0,0,Bronx,3701
3603701,heating_other,352,673,56,568,652,847,916,518,556,836,733,Bronx,3701
3603701,heating_none,168,526,255,490,718,505,658,725,817,769,637,Bronx,3701
3603701,med_grossrent,1078,1126,1170,1192,1257,1189,1298,1310,1385,1383,1408,Bronx,3701
3603701,med_value,336800,334000,318700,295100,275900,256900,316400,281700,330000,367400,326800,Bronx,3701
3603702,med_age,35.8,34.7,34.6,34,36.2,35.7,36.5,37.2,37.3,36.3,36.6,Bronx,3702
3603702,population,145986,137233,143486,145754,135386,134644,145536,150691,150411,135799,149128,Bronx,3702
3603702,poverty_total,143260,136957,141917,144590,133895,133346,144100,149087,148462,134473,147219,Bronx,3702
3603702,poverty,23858,29051,26668,30827,28298,25211,28452,26211,21684,26141,25208,Bronx,3702
3603702,hhincome,46165,43974,43236,41382,45633,44906,47472,51381,58773,51263,60228,Bronx,3702
3603702,occupied_owner_0.5less,12122,9755,9943,9386,10561,9306,11082,10367,10867,9646,12032,Bronx,3702
3603702,occupied_owner_0.51_1,6133,6210,6712,6511,5038,5929,6074,7442,8354,4734,6583,Bronx,3702
3603702,occupied_owner_1.01_1.5,583,535,551,490,659,1063,609,914,523,1013,583,Bronx,3702
3603702,occupied_owner_1.51_2,121,89,187,228,169,0,309,56,126,220,245,Bronx,3702
