GEOID,variable,est_2009,est_2019,borough,PUMA,label,concept
3603701,B05002_001,108485,109938,Bronx,3701,Estimate!!Total:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603701,B05002_003,57923,56871,Bronx,3701,Estimate!!Total:!!Native:!!Born in state of residence,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603701,B05002_004,10657,10867,Bronx,3701,Estimate!!Total:!!Native:!!Born in other state in the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603701,B05002_009,5660,4895,Bronx,3701,Estimate!!Total:!!Native:!!Born outside the United States:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603701,B05002_013,34245,37305,Bronx,3701,Estimate!!Total:!!Foreign born:,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS
3603701,B07001_001,106828,108191,Bronx,3701,Estimate!!Total:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603701,B07001_017,94023,96950,Bronx,3701,Estimate!!Total:!!Same house 1 year ago:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603701,B07001_033,5719,5553,Bronx,3701,Estimate!!Total:!!Moved within same county:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603701,B07001_049,4212,3315,Bronx,3701,Estimate!!Total:!!Moved from different county within same state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603701,B07001_065,1928,1345,Bronx,3701,Estimate!!Total:!!Moved from different state:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603701,B07001_081,946,1028,Bronx,3701,Estimate!!Total:!!Moved from abroad:,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES
3603701,B25010_001,2.48,2.43,Bronx,3701,Estimate!!Average household size --!!Total:,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603701,B25010_002,2.36,2.3,Bronx,3701,Estimate!!Average household size --!!Total:!!Owner occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
3603701,B25010_003,2.54,2.49,Bronx,3701,Estimate!!Average household size --!!Total:!!Renter occupied,AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE
