boro,bctcb2010,cenblock10,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,total
Staten Island,50009001000.0,360850009001000,,,,,,,,,,,,,0.0,,,,,36,36
Staten Island,50020011000.0,360850020011000,,,,,,,,,,,,,,,,,,23,23
Staten Island,50027001000.0,360850027001000,,,,,,,,,,-1.0,,,,,10.0,12.0,22.0,84,83
Staten Island,50040001000.0,360850040001000,,,,,,,2.0,,,,,,0.0,,,,1.0,18,20
Staten Island,50064001000.0,360850064001000,,,,,,,0.0,,2.0,,,,,,0.0,,,23,25
Staten Island,50074001000.0,360850074001000,,,,,,,,,,,,,,1.0,,-1.0,2.0,52,52
Staten Island,50075001000.0,360850075001000,,,,,,,,,,,,,,,,,,57,57
Staten Island,50077001000.0,360850077001000,,,,,,,,,2.0,,,4.0,,-1.0,2.0,,5.0,60,66
Staten Island,50112011000.0,360850112011000,,,,,,,,,,,,,,,0.0,,,25,25
Staten Island,50112021000.0,360850112021000,,,,,,0.0,,2.0,-1.0,1.0,,,,,,,,8,10
Staten Island,50114011000.0,360850114011000,,,,,,,,,,,,,,,,,,12,12
Staten Island,50114021000.0,360850114021000,0.0,0.0,,,1.0,0.0,,,,,,,,,,,,36,37
Staten Island,50121001000.0,360850121001000,,,,,,,0.0,,,,,,,,,,,28,28
Staten Island,50122001000.0,360850122001000,,,,,,,,-1.0,,,,,,,,,,24,23
Staten Island,50125001000.0,360850125001000,,,,,,,,,,,,,,,,,,69,69
Staten Island,50132011000.0,360850132011000,,,,,,,,,,,,,,,,,,60,60
Staten Island,50134001000.0,360850134001000,,,,,,,,,,,,,,,,,,4,4
Staten Island,50138001000.0,360850138001000,,,,,,0.0,,,,,,,,,,,,7,7
Staten Island,50146051000.0,360850146051000,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,,,,19,19
Staten Island,50146071000.0,360850146071000,,,,,,,,,,,,,,,,,,0,0
Staten Island,50146081000.0,360850146081000,,,,,,,,,,2.0,4.0,,,,,,,116,122
Staten Island,50156031000.0,360850156031000,,,,,,,,,,,,,,,,,,42,42
Staten Island,50169011000.0,360850169011000,,,0.0,,,,0.0,,,,,,,,,,,41,41
Staten Island,50170051000.0,360850170051000,,,,,,,,,,,,,,,,,,0,0
Staten Island,50170081000.0,360850170081000,,,,,,,,,,,,,,,,,,38,38
Staten Island,50170111000.0,360850170111000,,,,,,,,,,,,,,,,,,47,47
Staten Island,50173001000.0,360850173001000,,,,,,,,,,,,,,,,,,18,18
Staten Island,50187011000.0,360850187011000,,,,,,,,,,,,,,,1.0,,,35,35
Staten Island,50189011000.0,360850189011000,,,,,,,,,,,,,2.0,,,,1.0,40,40
Staten Island,50197001000.0,360850197001000,1.0,1.0,,,,,,,,,,,,,,,,18,19
Staten Island,50207001000.0,360850207001000,,,,,,,,,,,,,,,,,,0,0
Staten Island,50208011000.0,360850208011000,,,,,,,,,,,,,,,,,,0,0
