boro,bct2010,centract10,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Staten Island,5000900,36085000900.0,,,2.0,1.0,,1.0,0.0,0.0,7.0,2.0,,,12.0,,10.0,9.0,,907,907,920,920
Manhattan,1009800,36061009800.0,22.0,20.0,-21.0,0.0,0.0,0.0,116.0,131.0,-7.0,2.0,3.0,3.0,29.0,-5.0,165.0,212.0,31.0,5411,5411,5660,5660
Manhattan,1010200,36061010200.0,0.0,0.0,,,0.0,-14.0,0.0,0.0,-4.0,-2.0,,0.0,-2.0,,69.0,0.0,113.0,307,307,287,287
Manhattan,1010400,36061010400.0,0.0,0.0,-1.0,0.0,,173.0,0.0,-26.0,0.0,,180.0,,96.0,26.0,-4.0,4.0,70.0,1040,1040,1366,1366
Manhattan,1011300,36061011300.0,-1.0,-11.0,0.0,,-2.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,2.0,3.0,111,111,108,108
Manhattan,1011402,36061011402.0,0.0,0.0,,-4.0,0.0,,,-1.0,,-1.0,,1.0,0.0,0.0,-1.0,5.0,2.0,1869,1869,1864,1864
Manhattan,1013000,36061013000.0,1.0,1.0,-7.0,-2.0,-17.0,-6.0,0.0,8.0,-46.0,4.0,-2.0,-8.0,-1.0,-2.0,-27.0,-8.0,-21.0,2706,2706,2631,2631
Manhattan,1014000,36061014000.0,-3.0,-3.0,-2.0,-2.0,19.0,0.0,-10.0,14.0,1.0,-16.0,-19.0,6.0,5.0,-10.0,43.0,-1.0,-20.0,4399,4399,4387,4387
Manhattan,1014801,36061014801.0,,,,,,0.0,,,,0.0,1.0,,39.0,-5.0,0.0,,0.0,1699,1699,1700,1700
Manhattan,1018400,36061018400.0,55.0,109.0,27.0,-6.0,,0.0,-17.0,32.0,0.0,0.0,,,202.0,,2.0,13.0,92.0,3219,3219,3310,3310
Manhattan,1019000,36061019000.0,1.0,1.0,,0.0,0.0,190.0,-1.0,,1.0,-5.0,,-2.0,3.0,58.0,168.0,-2.0,26.0,1604,1604,1788,1788
Manhattan,1020600,36061020600.0,60.0,60.0,-11.0,113.0,-2.0,9.0,1.0,1.0,39.0,5.0,24.0,-3.0,253.0,0.0,43.0,10.0,20.0,1498,1498,1734,1734
Manhattan,1024900,36061024900.0,,,,,,49.0,,-2.0,,37.0,,,,,0.0,,1.0,400,400,484,484
Manhattan,1026100,36061026100.0,-1.0,-1.0,,-2.0,,,,,,8.0,0.0,,,,1.0,,,3784,3784,3789,3789
Manhattan,1026300,36061026300.0,0.0,0.0,0.0,,,0.0,3.0,-1.0,,,,,1.0,,-2.0,1.0,-20.0,2924,2924,2926,2926
Manhattan,1026900,36061026900.0,5.0,5.0,0.0,4.0,0.0,,17.0,0.0,23.0,,,,-3.0,,6.0,,2.0,2751,2751,2800,2800
Manhattan,1027700,36061027700.0,,,,,,,,,,,,,0.0,,,,1.0,2181,2181,2181,2181
Brooklyn,3000501,36047000501.0,,,39.0,2.0,5.0,-6.0,,-1.0,,-101.0,0.0,-9.0,-1.0,1.0,-7.0,194.0,-5.0,2004,2004,1933,1933
Brooklyn,3004100,36047004100.0,0.0,0.0,9.0,-2.0,2.0,-1.0,14.0,-1.0,0.0,1.0,-1.0,9.0,0.0,-1.0,38.0,8.0,10.0,1631,1631,1661,1661
Brooklyn,3005800,36047005800.0,4.0,4.0,1.0,4.0,,,,1.0,,,,,4.0,-2.0,-2.0,0.0,0.0,1747,1747,1757,1757
Brooklyn,3006000,36047006000.0,1.0,1.0,,0.0,-3.0,,-1.0,,,4.0,,,2.0,1.0,1.0,0.0,1.0,1265,1265,1266,1266
Brooklyn,3006700,36047006700.0,-4.0,-6.0,-3.0,-7.0,24.0,15.0,-1.0,2.0,-5.0,-2.0,-8.0,-7.0,-2.0,-3.0,-18.0,-5.0,-4.0,1590,1590,1594,1594
