councildst,councilmbr,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,total
1,Margaret Chin,599,619,1428,523,467,-26,839,1396,1151,2620,641,756,1522,532,2529,811,643,84285,94679
10,Ydanis Rodriguez,42,41,131,-33,1,70,67,-1,19,61,105,21,1184,306,143,8,643,64223,64706
12,Andy King,178,230,278,124,226,137,214,273,111,89,42,151,311,122,856,226,113,64654,66477
13,Mark Gjonaj,48,60,158,25,53,36,67,38,180,78,75,55,363,76,245,99,276,63065,63878
15,Ritchie Torres,453,526,469,89,19,211,442,172,447,800,892,408,2042,275,2029,767,606,59833,64235
16,Vanessa L Gibson,462,641,543,223,316,635,263,260,240,456,211,207,762,136,2076,89,159,57185,61001
17,Rafael Salamanca,1277,1332,1393,710,457,74,256,973,663,1222,1794,1933,2701,726,3445,741,345,54517,65269
18,"Ruben Diaz, Sr.",293,298,158,48,133,32,318,196,136,54,122,318,1565,145,1092,265,178,62040,63848
19,Paul Vallone,131,179,224,137,68,93,64,36,52,95,294,86,238,61,393,119,210,62301,63581
21,Francisco Moya,278,341,259,242,157,108,60,139,128,234,107,109,269,283,935,166,326,46332,48153
22,Costa Constantinides,635,827,330,306,252,381,202,452,370,449,641,258,802,271,2048,393,1019,67868,72144
23,Barry Grodenchik,40,48,49,28,40,45,51,29,20,24,36,54,48,18,215,22,280,57462,57878
25,Daniel Dromm,114,172,139,158,98,86,187,55,47,67,401,193,263,51,676,164,282,58758,60303
26,Jimmy Van Bramer,344,371,486,819,2444,1191,1397,1662,3503,3658,1396,332,4053,534,9876,3642,3047,65536,82768
29,Karen Koslowitz,35,111,156,160,239,75,438,203,96,183,165,44,291,672,1010,458,376,72008,73802
3,Corey Johnson,995,2253,2319,204,2447,1037,2094,2123,2298,1673,1112,604,1405,4,4794,475,1929,113622,130528
30,Robert Holden,102,173,58,71,44,26,89,32,47,19,62,87,152,507,311,90,442,60666,61303
31,Donovan Richards,139,188,194,169,200,141,156,80,170,440,260,98,1632,496,1778,161,317,53383,55430
32,Eric Ulrich,111,146,79,44,42,32,122,83,144,94,135,110,243,59,421,165,200,58774,59770
33,Stephen Levin,2304,3255,1563,807,1351,1813,2561,2410,3720,2778,2392,2579,2622,335,8518,2596,1193,68677,92955
34,Antonio Reynoso,654,963,778,614,975,661,834,775,1249,2375,1663,1217,1432,1727,1898,1167,1384,60709,72504
