boro,nta2010,ntaname2010,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Brooklyn,BK88,Borough Park,82.0,135.0,167.0,7.0,14.0,44.0,73.0,69.0,61.0,65.0,207.0,355.0,133.0,119.0,327.0,91.0,44.0,31409,31409,32553,32553
Queens,QN51,Murray Hill,36.0,56.0,46.0,26.0,23.0,11.0,-44.0,22.0,62.0,74.0,140.0,109.0,17.0,69.0,445.0,80.0,110.0,19017,19017,19522,19522
Queens,QN27,East Elmhurst,17.0,19.0,7.0,92.0,21.0,21.0,-1.0,4.0,1.0,21.0,28.0,41.0,97.0,6.0,313.0,26.0,69.0,7153,7313,7405,7565
Queens,QN07,Hollis,9.0,9.0,9.0,7.0,3.0,5.0,-3.0,4.0,1.0,21.0,1.0,4.0,45.0,7.0,63.0,40.0,51.0,6689,6689,6750,6750
Brooklyn,BK25,Homecrest,2.0,3.0,23.0,-4.0,-4.0,7.0,-13.0,-5.0,16.0,6.0,24.0,8.0,54.0,-9.0,38.0,-5.0,-4.0,18567,18567,18627,18627
Queens,QN41,Fresh Meadows-Utopia,7.0,7.0,3.0,14.0,8.0,1.0,4.0,-1.0,-1.0,2.0,11.0,3.0,13.0,-4.0,6.0,3.0,1.0,6870,6870,6921,6921
Queens,QN08,St. Albans,20.0,32.0,18.0,34.0,23.0,16.0,74.0,61.0,8.0,205.0,113.0,111.0,36.0,25.0,75.0,151.0,42.0,16170,16170,16853,16853
Brooklyn,BK44,Madison,72.0,72.0,21.0,25.0,43.0,4.0,-3.0,18.0,109.0,142.0,55.0,197.0,39.0,-2.0,171.0,54.0,4.0,16946,16946,17629,17629
Brooklyn,BK41,Kensington-Ocean Parkway,1.0,4.0,7.0,8.0,1.0,2.0,9.0,18.0,55.0,-2.0,4.0,11.0,7.0,55.0,88.0,46.0,6.0,12789,12789,12903,12903
Brooklyn,BK95,Erasmus,35.0,35.0,5.0,-2.0,16.0,45.0,71.0,-9.0,52.0,294.0,215.0,447.0,256.0,262.0,1040.0,42.0,111.0,11231,11231,12400,12400
