"","neighborhood","year","score"
"1","Battery Park City",2009,-0.11864406779661
"2","Battery Park City",2010,-0.068607268454635
"3","Battery Park City",2011,0.0666666666666667
"4","Battery Park City",2012,0.0418370815264689
"5","Battery Park City",2013,0.0360983102918587
"6","Battery Park City",2014,0.0599322540159513
"7","Battery Park City",2015,0.146900269541779
"8","Battery Park City",2016,0.109776654024442
"9","Battery Park City",2017,0.092436974789916
"10","Battery Park City",2020,0
"11","Battery Park City",2021,0
"12","Carnegie Hill",2009,0.5
"13","Carnegie Hill",2012,0.818181818181818
"14","Carnegie Hill",2013,0.818181818181818
"15","Carnegie Hill",2014,0.818181818181818
"16","Carnegie Hill",2015,0.818181818181818
"17","Carnegie Hill",2016,0.818181818181818
"18","Chelsea",2009,0.696969696969697
"19","Chelsea",2010,0.657711038961039
"20","Chelsea",2011,0.529411764705882
"21","Chelsea",2012,0.513804713804714
"22","Chelsea",2013,0.515151515151515
"23","Chelsea",2014,0.52605825547002
"24","Chelsea",2015,0.467373168143386
"25","Chelsea",2016,0.448474291140958
"26","Chelsea",2017,0.279429989060791
"27","Chelsea",2018,0.260548523206751
"28","Chelsea",2019,-0.0156579343571213
"29","Chelsea",2020,-0.040650406504065
"30","Chelsea",2021,-0.0491803278688525
"31","Chinatown",2009,0.126760563380282
"32","Chinatown",2010,0.217629758671576
"33","Chinatown",2011,0.245113847260317
"34","Chinatown",2012,0.108005316372257
"35","Chinatown",2013,0.15869394738952
"36","Chinatown",2014,0.193873087704961
"37","Chinatown",2015,0.217585652585202
"38","Chinatown",2016,0.180761173184358
"39","Chinatown",2017,0.180168653678395
"40","Chinatown",2018,0.177123429057131
"41","Chinatown",2019,0.130573360418224
"42","Chinatown",2020,0.105852995485028
"43","Chinatown",2021,0.147368421052632
"44","Civic Center",2009,0.333333333333333
"45","Civic Center",2010,0.333333333333333
"46","Civic Center",2011,0.333333333333333
"47","Civic Center",2012,0.204545454545455
"48","Civic Center",2013,0.272727272727273
"49","Civic Center",2014,0.284715284715285
"50","Civic Center",2015,0.303073737856347
"51","Civic Center",2016,0.309959681813229
"52","Civic Center",2017,0.28
"53","Civic Center",2018,0.294117647058824
"54","Civic Center",2019,0.25
"55","Civic Center",2020,0.22140522875817
"56","Civic Center",2021,0.215686274509804
"57","Clinton",2014,-0.330465949820789
"58","Clinton",2017,-0.290322580645161
"59","East Harlem",2009,-0.152647975077882
"60","East Harlem",2014,-0.268292682926829
"61","East Harlem",2015,-0.218287526427061
"62","East Harlem",2016,-0.17979797979798
"63","East Harlem",2017,-0.171306471306471
"64","East Harlem",2019,-0.1860666158149
"65","East Harlem",2020,-0.234375
"66","East Village",2009,-0.0625
"67","East Village",2010,-0.0829038034980546
"68","East Village",2011,-0.0379141641641642
"69","East Village",2012,0.00113534094842506
"70","East Village",2013,-0.0200467060961552
"71","East Village",2014,0.0031614452547619
"72","East Village",2015,0.0177384669472505
"73","East Village",2016,0.0385369161178864
"74","East Village",2017,0.0580645161290323
"75","East Village",2018,0.0580645161290323
"76","East Village",2019,0.014587955414183
"77","East Village",2020,0.0726256983240224
"78","East Village",2021,0.0726256983240224
"79","Financial District",2009,0
"80","Financial District",2010,0
"81","Financial District",2011,0
"82","Financial District",2012,-1
"83","Financial District",2013,-1
"84","Financial District",2014,0.5
"85","Financial District",2015,0.438095238095238
"86","Financial District",2016,0.428571428571429
"87","Financial District",2017,0.428571428571429
"88","Financial District",2018,0.339285714285714
"89","Financial District",2019,-0.0313805305025674
"90","Financial District",2020,0.015215654385658
"91","Financial District",2021,-0.040650406504065
"92","Flatiron",2006,0
"93","Flatiron",2017,0.657142857142857
"94","Gramercy",2009,0.555555555555556
"95","Gramercy",2010,0.3974676074184
"96","Gramercy",2011,0.223880597014925
"97","Gramercy",2012,0.22275641025641
"98","Gramercy",2013,0.2
"99","Gramercy",2015,0.226666666666667
"100","Gramercy",2016,0.222486486486486
"101","Gramercy",2019,0.170731707317073
"102","Gramercy",2020,0.170731707317073
"103","Greenwich Village",2009,0.333333333333333
"104","Greenwich Village",2010,0.333333333333333
"105","Greenwich Village",2011,0.407790143084261
"106","Greenwich Village",2012,0.415094339622642
"107","Greenwich Village",2014,0.324066091954023
"108","Greenwich Village",2015,0.292865158325041
"109","Greenwich Village",2016,0.293861912581124
"110","Greenwich Village",2017,0.276595744680851
"111","Greenwich Village",2019,0.203925729841476
"112","Greenwich Village",2020,0.190751445086705
"113","Hamilton Heights",2009,0.666666666666667
"114","Hamilton Heights",2010,0.636363636363636
"115","Hamilton Heights",2013,0.777777777777778
"116","Hamilton Heights",2014,0.777777777777778
"117","Hamilton Heights",2015,0.777777777777778
"118","Hamilton Heights",2016,0.793650793650794
"119","Hamilton Heights",2017,0.8
"120","Hamilton Heights",2018,0.8
"121","Hamilton Heights",2019,0.115178571428571
"122","Hamilton Heights",2020,0.0828125
"123","Lincoln Square",2014,-1
"124","Lincoln Square",2015,-0.2
"125","Lincoln Square",2016,-0.2
"126","Lincoln Square",2017,-0.2
"127","Lincoln Square",2018,-0.183333333333333
"128","Lincoln Square",2019,-0.021978021978022
"129","Lincoln Square",2020,0
"130","Little Italy",2009,0.6
"131","Little Italy",2010,0.611538461538461
"132","Little Italy",2011,0.6
"133","Little Italy",2012,0.65679012345679
"134","Little Italy",2013,0.246176046176046
"135","Little Italy",2014,0.116530544453701
"136","Little Italy",2015,0.130469852792902
"137","Little Italy",2016,0.0893166601668626
"138","Little Italy",2017,0.0715384615384615
"139","Little Italy",2018,0.0769230769230769
"140","Little Italy",2019,0.0792307692307692
"141","Little Italy",2020,0.0769230769230769
"142","Little Italy",2021,0.0769230769230769
"143","Lower East Side",2009,0.441860465116279
"144","Lower East Side",2010,0.40531561461794
"145","Lower East Side",2011,0.387000768049155
"146","Lower East Side",2012,0.364472815320273
"147","Lower East Side",2013,0.259850619881184
"148","Lower East Side",2014,0.247430123422835
"149","Lower East Side",2015,0.246892719054007
"150","Lower East Side",2016,0.200804807943559
"151","Lower East Side",2017,0.15815716676343
"152","Lower East Side",2018,0.157894736842105
"153","Lower East Side",2019,0.109645623267914
"154","Lower East Side",2020,0.0941220238095238
"155","Lower East Side",2021,0.09375
"156","Manhattanville",2009,0.392857142857143
"157","Manhattanville",2010,0.384680610514415
"158","Manhattanville",2012,0.407407407407407
"159","Manhattanville",2014,0.4
"160","Manhattanville",2015,0.462625538020086
"161","Manhattanville",2016,0.463414634146341
"162","Manhattanville",2017,0.45263754963131
"163","Manhattanville",2018,0.441860465116279
"164","Manhattanville",2019,0.201024327784891
"165","Manhattanville",2020,0.258379667795064
"166","Midtown",2009,0.111111111111111
"167","Midtown",2010,0.181818181818182
"168","Midtown",2012,0.0909090909090909
"169","Midtown",2013,-0.15978835978836
"170","Midtown",2014,-0.0344827586206897
"171","Midtown",2015,0.111111111111111
"172","Midtown",2016,0.12
"173","Midtown",2017,0.0769230769230769
"174","Midtown",2020,-0.03125
"175","Morningside Heights",2009,0.418181818181818
"176","Morningside Heights",2010,0.428571428571429
"177","Morningside Heights",2011,0.372549019607843
"178","Morningside Heights",2012,0.319148936170213
"179","Morningside Heights",2013,0.31917762049208
"180","Morningside Heights",2014,0.374393048811653
"181","Morningside Heights",2015,0.144302398989899
"182","Morningside Heights",2016,0.133333333333333
"183","Morningside Heights",2017,0.147311827956989
"184","Morningside Heights",2018,0.180645161290323
"185","Morningside Heights",2019,0.0357321465136716
"186","Morningside Heights",2020,0.0424242424242424
"187","Morningside Heights",2021,0.0697674418604651
"188","Murray Hill",2009,0.396825396825397
"189","Murray Hill",2010,0.384018759018759
"190","Murray Hill",2011,0.328019023230291
"191","Murray Hill",2012,0.313432835820896
"192","Murray Hill",2013,0.313432835820896
"193","Murray Hill",2014,0.29191450834065
"194","Murray Hill",2015,0.313432835820896
"195","Murray Hill",2016,0.313432835820896
