boro,puma2010,pumaname10,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Bronx,3702,"Bronx CD 12 - Wakefield, Williamsbridge & Woodlawn",126,187,317,169,262,203,259,317,91,209,85,205,807,177,999,180,218,52388,52388,54631,54631
Bronx,3704,"Bronx CD 11 - Pelham Parkway, Morris Park & Laconia",63,72,46,21,35,14,17,-6,197,45,55,42,473,176,440,125,155,47627,47627,48156,48156
Bronx,3707,"Bronx CD 05 - Morris Heights, Fordham South & Mount Hope",168,303,200,152,0,276,209,7,442,449,411,401,1806,495,1630,730,638,45683,45683,48398,48398
Bronx,3709,"Bronx CD 09 - Castle Hill, Clason Point & Parkchester",293,298,158,48,134,32,318,262,136,55,557,393,1676,145,1158,268,174,68118,68118,70504,70504
Manhattan,3804,Manhattan CD 11 - East Harlem,442,926,625,390,272,611,115,95,473,311,299,849,1191,72,1479,855,795,48728,48728,53210,53210
Manhattan,3805,Manhattan CD 08 - Upper East Side,166,266,126,-70,-116,-362,135,222,244,-52,6,331,730,-116,522,-40,-103,136751,136751,137381,137381
Manhattan,3807,"Manhattan CD 04 & 05 - Chelsea, Clinton & Midtown Business District",1188,2405,2309,285,2642,1008,2218,2357,2744,3159,1313,563,1645,35,4921,1298,2792,99447,99447,119233,119233
Staten Island,3901,"Staten Is. CD 03 - Tottenville, Great Kills & Annadale",198,272,240,182,271,159,140,193,210,255,217,224,315,34,531,-14,442,60420,60420,62709,62709
Staten Island,3903,"Staten Is. CD 01 - Port Richmond, Stapleton & Mariner's Harbor",203,347,223,174,186,94,-168,775,194,100,180,90,702,49,591,331,967,65422,65422,67473,67473
Brooklyn,4001,Brooklyn CD 01 - Greenpoint & Williamsburg,1924,2857,1182,1138,1799,1408,1594,1614,2383,2438,1896,1457,2332,1101,6050,2211,1390,63829,63829,82662,82662
Brooklyn,4002,Brooklyn CD 04 - Bushwick,400,511,336,178,344,244,469,452,728,1813,1435,862,1073,875,1622,902,707,46218,46218,53479,53479
Brooklyn,4003,Brooklyn CD 03 - Bedford-Stuyvesant,289,333,419,403,409,260,221,828,874,765,937,742,1176,567,2056,885,822,55564,55564,61711,61711
Brooklyn,4004,Brooklyn CD 02 - Brooklyn Heights & Fort Greene,922,1228,1078,561,665,1359,2063,2576,2737,1519,1656,1758,1791,507,4574,1216,499,58719,58719,75613,75613
Brooklyn,4005,"Brooklyn CD 06 - Park Slope, Carroll Gardens & Red Hook",405,443,352,66,226,137,-15,759,867,327,113,562,697,190,1306,322,70,51336,51336,55135,55135
Brooklyn,4010,"Brooklyn CD 17 - East Flatbush, Farragut & Rugby",78,88,34,11,32,47,70,-7,45,303,310,590,561,480,1347,73,172,51190,51190,52703,52703
Brooklyn,4012,Brooklyn CD 07 - Sunset Park & Windsor Terrace,163,223,206,68,117,191,134,77,56,113,160,222,190,331,791,340,488,48059,48059,49566,49566
