"","neighborhood","year","count"
"1","Battery Park City",2009,1990
"2","Battery Park City",2010,2063
"3","Battery Park City",2011,2083
"4","Battery Park City",2012,1944
"5","Battery Park City",2013,2206.5
"6","Battery Park City",2014,2471
"7","Battery Park City",2015,3396
"8","Battery Park City",2016,3537
"9","Battery Park City",2017,3788
"10","Battery Park City",2020,5301
"11","Battery Park City",2021,5304
"12","Carnegie Hill",2009,767
"13","Carnegie Hill",2012,689
"14","Carnegie Hill",2013,690
"15","Carnegie Hill",2014,709.5
"16","Carnegie Hill",2015,736
"17","Carnegie Hill",2016,777
"18","Chelsea",2009,1513
"19","Chelsea",2010,1531
"20","Chelsea",2011,1760
"21","Chelsea",2012,1668
"22","Chelsea",2013,1698
"23","Chelsea",2014,1799
"24","Chelsea",2015,1905
"25","Chelsea",2016,2084
"26","Chelsea",2017,3552.5
"27","Chelsea",2018,3787
"28","Chelsea",2019,5085
"29","Chelsea",2020,5129
"30","Chelsea",2021,5132
"31","Chinatown",2009,2606
"32","Chinatown",2010,2726.5
"33","Chinatown",2011,3500.5
"34","Chinatown",2012,4883
"35","Chinatown",2013,4943
"36","Chinatown",2014,6015
"37","Chinatown",2015,6145
"38","Chinatown",2016,6309
"39","Chinatown",2017,6458
"40","Chinatown",2018,6498
"41","Chinatown",2019,7694
"42","Chinatown",2020,7774.5
"43","Chinatown",2021,7692
"44","Civic Center",2009,268
"45","Civic Center",2010,272
"46","Civic Center",2011,300
"47","Civic Center",2012,2734
"48","Civic Center",2013,2738.5
"49","Civic Center",2014,2777
"50","Civic Center",2015,2938
"51","Civic Center",2016,2338
"52","Civic Center",2017,2157
"53","Civic Center",2018,2165
"54","Civic Center",2019,2132
"55","Civic Center",2020,2213
"56","Civic Center",2021,2273.5
"57","Clinton",2014,4056
"58","Clinton",2017,4761
"59","East Harlem",2009,7670
"60","East Harlem",2014,2968
"61","East Harlem",2015,3114
"62","East Harlem",2016,3264
"63","East Harlem",2017,3292.5
"64","East Harlem",2019,4749
"65","East Harlem",2020,5048
"66","East Village",2009,3296
"67","East Village",2010,3338
"68","East Village",2011,3507
"69","East Village",2012,3862
"70","East Village",2013,4187
"71","East Village",2014,4539
"72","East Village",2015,5292
"73","East Village",2016,5278
"74","East Village",2017,5501.5
"75","East Village",2018,5498
"76","East Village",2019,6732
"77","East Village",2020,7717
"78","East Village",2021,7766
"79","Financial District",2009,565
"80","Financial District",2010,565
"81","Financial District",2011,574
"82","Financial District",2012,467
"83","Financial District",2013,480
"84","Financial District",2014,538
"85","Financial District",2015,645
"86","Financial District",2016,646
"87","Financial District",2017,675
"88","Financial District",2018,684
"89","Financial District",2019,2215
"90","Financial District",2020,3487
"91","Financial District",2021,4796
"92","Flatiron",2006,0
"93","Flatiron",2017,890.5
"94","Gramercy",2009,1300
"95","Gramercy",2010,2070.5
"96","Gramercy",2011,3148.5
"97","Gramercy",2012,3005
"98","Gramercy",2013,3401
"99","Gramercy",2015,3664
"100","Gramercy",2016,3665
"101","Gramercy",2019,4152
"102","Gramercy",2020,4163.5
"103","Greenwich Village",2009,3180
"104","Greenwich Village",2010,3256
"105","Greenwich Village",2011,3826.5
"106","Greenwich Village",2012,3871
"107","Greenwich Village",2014,4740
"108","Greenwich Village",2015,4817
"109","Greenwich Village",2016,4841
"110","Greenwich Village",2017,4868
"111","Greenwich Village",2019,6235
"112","Greenwich Village",2020,6272
"113","Hamilton Heights",2009,704
"114","Hamilton Heights",2010,702
"115","Hamilton Heights",2013,739
"116","Hamilton Heights",2014,726
"117","Hamilton Heights",2015,731
"118","Hamilton Heights",2016,731.5
